Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,253687150.837989,314134078.212291,424469273.743016,472234636.871508,581284916.201117,1369385474.86033,1654860335.19553,1771787709.4972,1930558659.21788,2008715083.79888,2524748603.35195,2565139664.80447,2097374301.67598,1288592178.77095,1868603351.9553,2067949720.67039,1480949720.67039,1798653631.28492,4723581005.58659,5766391335.85861,6088447715.12383,6768659217.8771,7131452513.96648,3549217877.09498,1870558659.21788,6901564245.81005,3187206703.91062,2196650239.63646,2343455994.2835,2491434650.02178,2396782064.42107,2363942202.89063,2620034124.06325,2651804815.03524,1521367981.31053,2268562458.00657,2956071608.91972,,
Africa Eastern and Southern,AFE,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,22209373439.6856,25738381630.9345,33581674770.9617,45948283616.5552,39383698185.9693,34679667032.6887,35628908405.7682,33977713614.9187,32346053150.1299,34465124024.8654,43567378421.6574,45671858044.2627,46150793744.414,48880960567.6998,47791036395.314,50263972029.1509,52578208511.7196,55950451002.0138,63447272027.0823,67023062496.024,69422246802.9938,64292428548.5473,65618895457.1145,72909712495.2503,70897680071.2795,74741288788.8621,92346538606.2762,115398595328.74,144946992492.303,174928548923.097,217185126751.737,255329676479.394,197305912316.359,257853132320.802,303343544238.654,297250796321.79,303326938864.948,296671026885.976,240314943332.534,228397643275.495,260537013480.932,284957304457.122,272126144854.438,228373356482.696,315014708275.58,362051882719.942,319984453140.253,
Afghanistan,AFG,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,615500000,792700000,766300000,798000000,806200000,841500000,697400000,550100000,593500000,546700000,280600000,,,,,,,,,,,,,,,,,,,1993642469.72543,2202037379.66668,2746604195.45976,3191479093.72125,2480275796.60145,1584641700.70405,2177473479.00354,1704288648.84221,1375850797.51849,1452434678.48798,1898906244.65753,1868568055.70031,1716706830.94261,,,,
Africa Western and Central,AFW,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,23720264503.5953,21885898803.4376,31894753690.9186,45919052942.9416,35572989978.6684,26508993375.4003,23666890755.2867,26191629837.3201,27573446961.7416,17488581235.3303,21016123091.8043,20468710392.474,23161566067.8303,32941146704.2104,30583645461.9683,30090011119.778,26968909231.8906,25182741961.4364,20279280913.1638,24261609864.5773,23012350162.2592,20083995243.9516,34678835809.0308,45658436873.6387,43230266914.5506,42499951896.1654,57402629810.491,74946206346.2829,103469211949.119,114473531101.88,129800993073.233,165023391672.606,123475169860.82,161016097357.453,199380271185.608,197858133092.729,199832314362.796,183608560114.812,130065563947.572,119418261612.774,144875373745.083,171296648161.806,182056587575.083,143795716233.578,174533304578.09,203208065791.012,,
Angola,AGO,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,2430000000,1462000000,2415000000,2620000000,3164000000,4003000000,3635600000,3991351000,3017600000,3179800000,3851690000,5405999000,5257430000,3699170000,5333650000,8222360000,6759790000,8552372416.6,9721520615.5,13830779466,24311987562.29,33491517668.21,45329462968.22,64665690436.56,41582480380.92,51585764935.92,68252355245.6919,72133100315.0915,70380501721.54,61496795044.6521,34603647352.9644,28640556800.6453,35837464384.8497,41837360214.5157,35872743552.7913,21540234145.7089,34029794548.2374,50297120491.8727,37544219152.4758,
Albania,ALB,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,385500000,442000000,387800000,361700000,338800000,320800000,328100000,334600000,375100000,434300000,353600000,83000000,92900000,254100000,275500000,375700000,456600000,160780000,223200000,475000000,670400000,820700000,815450000,1041539222.08549,1453552162.90299,1687443389.37208,2201687890.04002,2846824201.34943,3755349944.58024,3438619106.27148,3703040658.0202,4078140323.27195,3797531105.78431,4070992798.3488,4178282911.29955,3519547545.56681,3892417842.21763,4605004261.4331,5247401479.04404,5292424070.62873,3846951283.85033,6080531352.11184,7682391863.23189,10011869809.3321,
Andorra,AND,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2906978116.32762,2392121507.76839,2889649287.98143,3263249435.13851,,
Arab World,ARB,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,4691000000,6738000000,7836000000,9916000000,11202000000,11805000000,9755000000,9764000000,9909000000,10329000000,8841000000,8406000000,11360000000,12042000000,16654000000,16132000000,17740679690.7487,18821539432.6,22835777307,29324812447.025,32868611331.0929,36490952850.2885,37389629537.7319,34072430573.5184,38657070742.8605,36474696527.7566,32093670000,37439900000,43478020000,51204020000,60213128417.1119,72746977098.8969,87208615201.963,69866766023.3485,83888208132.8251,100852552853.974,96586241540.6775,92034825145.1632,84398577454.3413,72381928419.3621,74209111524.7498,78184715522.5849,83420042594.2392,86292608863.2293,68242519024.592,90120185274.9797,106808663401.644,89258087553.7475,
Armenia,ARM,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229020000,357751040,447789357.821878,474062773.808225,462193581.191088,479368786.632423,557854584.68917,665720600.884556,884142112.150196,1147694288.01234,1511732725.63406,1943703724.84209,2302670548.11901,2924909839.69892,3076880999.96319,2435101657.5018,3259762075.98752,3807748403.31919,4032591598.93567,4414406842.36423,4531263614.29491,4023630097.21073,4411121016.57497,5427811277.10679,5837077340.97758,6733519492.95301,4278309133.74566,5491755362.32082,11053769618.0173,15106793746.4757,
American Samoa,ASM,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,31600000,42200000,51000000,106900000,107100000,107600000,104300000,172400000,181000000,207329629.62963,228400000,266959259.259259,292140740.740741,347788888.888889,372522222.222222,411070370.37037,442277777.777778,440714814.814815,406814814.814814,408314814.814815,446996296.296296,478785185.185185,484526552.962963,611452386.168792,592030293.924319,604540415.672644,685776844.885443,775957169.979753,831778667.843834,852180062.769685,822743533.21568,966154895.660743,895736311.67566,856103737.367078,903196298.376699,924839757.119455,920544306.21107,1042475916.06067,1038204296.24438,1062220492.1032,1005562776.01381,1059669245.17174,1228208032.51607,609022751.784193,719204596.620116,1126957907.77778,1236859733.33333,
Australia,AUS,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50246690313.0228,54113174389.6371,57337587295.6856,58333974591.4988,59500174922.7124,67017433121.7764,76255068274.2161,87243283648.9829,92607825445.926,80279189958.5742,83249984025.8889,94027773391.6451,90769749908.4107,94387840252.4989,106294577827.593,131584831384.86,157277206579.261,186263244754.031,224226447908.451,282460579807.787,230524767954.232,306104335256.101,378210724779.15,365064931826.891,359336880888.297,347612194592.466,283145319198.681,290357917556.393,339448334757.415,375367534791.658,389709309695.282,342812222061.342,440071728757.876,527648610202.199,509892252460.674,
Austria,AUT,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184883135968.07,210309326488.545,258109664283.619,283468623748.232,222987879721,237639344893.217,278747846714.317,261172432578.64,256742162239.201,266421672218.135,219961504370.676,238140109683.944,252880519875.826,281890142912.39,280077577707.247,254417645360.337,312884801132.395,324716379747.363,346912163167.22,
Azerbaijan,AZE,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794633000,807981000,1172833000,1047722000,1293062000,2174015000,2410233000,2692274000,3090917000,4188596000,8341331000,13994393000,22682991000,32484232000,23310691000,28910312000,38057559000,37837472000,36941498000,34230672000,21288283000,18499727000,21125504000,27122118769.5588,25226117931.1637,17069702440.8647,27309723938.7647,48816073000,37456464000,
