Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44091784736.3351,49459446238.5818,49965220172.7982,50349092222.703,50158553137.1373,45034378752.3277,50600380035.9337,45851067066.1371,44618463612.7559,61643554956.4059,80003826905.6364,96082621952.7632,112393024541.204,139561868206.294,164249045242.575,166901785020.714,179705666830.088,202953483300.479,204730768983.768,211897893775.214,220927774375.063,198654578261.767,177078955017.965,201561005607.418,205532265416.232,211832850239.237,190320800246.51,216791804141.436,241776347220.403,244673734353.752,
Afghanistan,AFG,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286077062.63851,1852748004.561,2417288135.59322,,
Africa Western and Central,AFW,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4635608555.6864,5285880612.1483,7208752387.72439,10275043781.4085,11496406184.7844,16418319977.3192,25870974660.1491,30086198764.6834,23662041927.3142,29504001447.8135,34165589909.2004,34617924621.3112,37362059352.7324,25528682845.4587,13830515985.5165,17127299174.1673,13661306397.6792,12557628119.3678,12848257810.8315,17582201885.3611,27411216560.0962,22547318751.0769,
Albania,ALB,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,712237773.892774,634615407.925408,673124987.5,698499962.5,670374975,731750012.5,615888125,83600694.4444444,36891479.0257555,162105372.688304,355435476.998047,509144791.391354,697344164.820387,454308793.456033,547094469.436359,756233236.784938,1110462752.06933,1440560838.08993,1567718712.47484,2014184689.59659,2715501613.89921,3053335680.91256,3386757725.98531,3884917081.006,4373128812.90911,3939528388.22247,3390642976.84281,3785530667.05936,3263361079.4452,3331982829.01199,3195744975.35078,2779928277.70372,2890329017.05701,3199793450.36134,3616720925.34985,3436655425.2711,3434284399.44777,4366740726.42968,4518553598.47091,5596106544.78613,
Andorra,AND,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,7875518710.87095,8675956236.22104,9396019679.43241,11826258476.206,16245325147.4242,24418437625.849,43320973789.0174,60143184524.7697,76535971883.4853,92182071596.1516,103512526605.681,124484970558.171,146175261527.855,153512701011.033,147192787969.967,134850020521.206,124097507977.627,122570734095.675,116015362742.466,109020053019.38,121438399591.518,135376695350.39,110990148314.743,114562904516.197,121218518743.158,120495503623.46,121783727702.352,124941687890.67,132401425715.546,136563408662.461,139390784820.271,144766393786.372,149841777090.951,153838942548.685,172495961751.583,203897003706.08,250013952493.905,305507763525.307,389573313036.826,498115347586.936,473914279938.7,527612653638.301,576572910151.777,597656739298.624,627832842819.459,666011750648.861,649027749544.795,607772985279.156,586685976267.185,614559418779.822,654751401626.352,557739220389.459,629851403360.799,755541343747.399,,
United Arab Emirates,ARE,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21672821592.9204,23139830197.4132,25853443648.7406,27619676405.7182,33195915588.8359,39044114853.6419,60798638529.612,70583970646.6984,73308153410.4833,71752718202.8591,75168048413.887,77961722260.0408,71052518012.2532,78929978270.9326,83725068454.7311,87307882831.8584,73175615194.0095,73146297944.1797,76782614213.7509,70613018270.9326,,,,
Argentina,ARG,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,22870000000,22557142857.1429,15551666666.6667,18546808510.6383,21320560747.6636,23659428571.4286,11888860206.9259,19785104979.8088,27769271211.3267,38211583094.5993,45114528828.8288,51330897900,46285080200,49210611100,56727150100,59595219100,51073902400,46020116800,38098830100,11688424248.1085,19313487764.3146,26170381202.9054,34483165290.6659,42630505717.2557,56114681625.8495,68732764883.4796,51883572175.6764,70497814077.3976,91443182251.6994,86579294008.072,89922196966.4496,84105642157.6515,92571210122.056,79573035277.0583,97588216231.8032,80040541570.5404,63576894130.6922,55093408839.0922,85997162259.2442,112873845677.231,122191262159.898,
